unidade;ano;mes;pacientes_pcm;internacoes;tx_paciente_pcm
CHPB;2022;1;0;28;0,0
CHPB;2022;2;0;27;0,0
CHPB;2022;3;0;39;0,0
CHPB;2022;4;0;29;0,0
CHPB;2022;5;0;31;0,0
CHPB;2022;6;0;31;0,0
CHPB;2022;7;0;45;0,0
CHPB;2022;8;0;49;0,0
CHPB;2022;9;0;36;0,0
CHPB;2022;10;0;33;0,0
CHPB;2022;11;0;29;0,0
CHPB;2022;12;0;43;0,0
CHPB;2023;1;0;55;0,0
CHPB;2023;2;0;29;0,0
CHPB;2023;3;0;50;0,0
CHPB;2023;4;1;45;0,022222222222222223
CHPB;2023;5;3;59;0,05084745762711865
CHPB;2023;6;0;51;0,0
CHPB;2023;7;0;53;0,0
CHPB;2023;8;0;32;0,0
CHPB;2023;9;0;42;0,0
CHPB;2023;10;0;36;0,0
CHPB;2023;11;1;46;0,021739130434782608
CHPB;2023;12;0;32;0,0
CHPB;2024;1;0;46;0,0
CHPB;2024;2;0;51;0,0
CHPB;2024;3;0;45;0,0
CHPB;2024;4;0;47;0,0
CHPB;2024;5;0;43;0,0
CHPB;2024;6;6;47;0,1276595744680851
CHPB;2024;7;18;44;0,4090909090909091
CHPB;2024;8;21;44;0,4772727272727273
CHPB;2024;9;13;37;0,35135135135135137
CHPB;2024;10;42;59;0,711864406779661
CHPB;2024;11;46;56;0,8214285714285714
CHPB;2024;12;32;38;0,8421052631578947
CHPB;2025;1;39;55;0,7090909090909091
CHPB;2025;2;34;50;0,68
CHPB;2025;3;19;37;0,5135135135135135
CHPB;2025;4;21;40;0,525
CHPB;2025;5;25;52;0,4807692307692308
CHPB;2025;6;25;46;0,5434782608695652
CHPB;2025;7;28;59;0,4745762711864407
CHPB;2025;8;17;39;0,4358974358974359
CHPB;2025;9;14;33;0,42424242424242425
CHPB;2025;10;21;40;0,525
CHPB;2025;11;13;29;0,4482758620689655
CHPB;2025;12;22;42;0,5238095238095238
CHPB;2026;1;19;42;0,4523809523809524
CSSI;2022;1;0;75;0,0
CSSI;2022;2;0;85;0,0
CSSI;2022;3;0;78;0,0
CSSI;2022;4;0;91;0,0
CSSI;2022;5;0;73;0,0
CSSI;2022;6;0;77;0,0
CSSI;2022;7;0;62;0,0
CSSI;2022;8;0;76;0,0
CSSI;2022;9;0;87;0,0
CSSI;2022;10;0;77;0,0
CSSI;2022;11;0;69;0,0
CSSI;2022;12;0;60;0,0
CSSI;2023;1;0;68;0,0
CSSI;2023;2;0;61;0,0
CSSI;2023;3;0;75;0,0
CSSI;2023;4;0;79;0,0
CSSI;2023;5;0;65;0,0
CSSI;2023;6;0;82;0,0
CSSI;2023;7;0;77;0,0
CSSI;2023;8;0;87;0,0
CSSI;2023;9;0;65;0,0
CSSI;2023;10;0;64;0,0
CSSI;2023;11;0;72;0,0
CSSI;2023;12;0;79;0,0
CSSI;2024;1;0;84;0,0
CSSI;2024;2;0;98;0,0
CSSI;2024;3;0;108;0,0
CSSI;2024;4;0;87;0,0
CSSI;2024;5;0;109;0,0
CSSI;2024;6;0;85;0,0
CSSI;2024;7;0;79;0,0
CSSI;2024;8;0;93;0,0
CSSI;2024;9;1;68;0,014705882352941176
CSSI;2024;10;1;76;0,013157894736842105
CSSI;2024;11;1;81;0,012345679012345678
CSSI;2024;12;1;86;0,011627906976744186
CSSI;2025;1;4;70;0,05714285714285714
CSSI;2025;2;1;68;0,014705882352941176
CSSI;2025;3;10;78;0,1282051282051282
CSSI;2025;4;14;70;0,2
CSSI;2025;5;24;68;0,35294117647058826
CSSI;2025;6;28;66;0,42424242424242425
CSSI;2025;7;17;65;0,26153846153846155
CSSI;2025;8;20;67;0,29850746268656714
CSSI;2025;9;29;74;0,3918918918918919
CSSI;2025;10;19;67;0,2835820895522388
CSSI;2025;11;22;63;0,3492063492063492
